id,origem,modulo_atual_id,modulo_atual_nome,titulo,classificacao_editorial,videos_locais_count,pdfs_locais_count,legendas_locais_count,descricoes_locais_count,outros_locais_count,total_arquivos_locais,links_remotos_count,links_remotos_preservados,disponibilidade_local,disponibilidade_remota,nivel_inspecao_real,decisao_preliminar,pendencias
aula-mod-1-1,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","01 - APOSTILAS e Apresentação",orientacao,2,2,2,1,0,7,4,"https://drive.google.com/file/d/1TrjSjLj8LiVeJl6A9Hw0S39exD9gw-1E/view?usp=drivesdk; https://drive.google.com/file/d/1fRixcoPvmlRZb4iL4Igvw9-Rw1D5lJdj/view?usp=drivesdk; https://drive.google.com/file/d/1tQs8Sm0OBEeWujnipczWsAF2B1H7_75a/view?usp=drivesdk; https://drive.google.com/file/d/1Gytxxdqi515cZ8YHJiE8Adq5u4yLLqb7/view?usp=drivesdk",disponivel,link_preservado_nao_testado,legenda_indexada,revisao_apoio,""
aula-mod-1-2,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","02 - H P - 1.1 Noções Básicas de Ritmo",percepcao_auditiva,3,0,3,1,0,7,3,"https://drive.google.com/file/d/1_OCmO-_jhXXZv6WypP-GXwpA9k1aBHsg/view?usp=drivesdk; https://drive.google.com/file/d/12Ne7nszZ6i87Ow6-EKhvcWTlsN9sftyS/view?usp=drivesdk; https://drive.google.com/file/d/1C09Gduu5UnMKGo0YUFkdr2bc-r7ekC_Z/view?usp=drivesdk",disponivel,link_preservado_nao_testado,legenda_indexada,manter_aula_individual,""
aula-mod-1-3,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","03 - H P - 1.2 Curiosidades",percepcao_auditiva,1,0,1,0,0,2,1,"https://drive.google.com/file/d/1cYlSM4YjQRKHBpKHVEFTw4XsB4qsFFJd/view?usp=drivesdk",disponivel,link_preservado_nao_testado,legenda_indexada,manter_aula_individual,""
aula-mod-1-4,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","04 - Violão - 1.1 - Postura",aula_pratica,1,0,1,0,0,2,1,"https://drive.google.com/file/d/1L7FU4NQQ_dIPhclDycbzYHHAVzwT-LLN/view?usp=drivesdk",disponivel,link_preservado_nao_testado,legenda_indexada,manter_aula_individual,""
aula-mod-1-5,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","05 - Violão - 1.2.1 - Exercícios Preliminares",aula_pratica,1,0,1,1,0,3,1,"https://drive.google.com/file/d/1r7O90liwGE0rTtMvFHf1W2P-VIZ-XjdU/view?usp=drivesdk",disponivel,link_preservado_nao_testado,legenda_indexada,manter_aula_individual,""
aula-mod-1-6,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","06 - Violão - 1.2.2 - Nível Exigido",aula_pratica,1,0,1,0,0,2,1,"https://drive.google.com/file/d/1avaTQfEQi5FGmLeG7PrQ3ztofskXweHj/view?usp=drivesdk",disponivel,link_preservado_nao_testado,legenda_indexada,manter_aula_individual,""
aula-mod-1-7,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","07 - Violão - 1.3 - Como Afinar",aula_pratica,2,0,0,1,0,3,2,"https://drive.google.com/file/d/1o84Q5IzH5ortiy8OC720chDIM8Xg2Zta/view?usp=drivesdk; https://drive.google.com/file/d/1OWkrCE4SOT0lhSt7jONrd5O46dFLitO_/view?usp=drivesdk",disponivel,link_preservado_nao_testado,metadados_catalogo,manter_aula_individual,""
aula-mod-1-8,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","08 - H P - 2 Compassos",percepcao_auditiva,3,0,3,1,0,7,3,"https://drive.google.com/file/d/1_2k58pgqXOcpgIhbnaHLcYGgaJbr6X_j/view?usp=drivesdk; https://drive.google.com/file/d/1jfRM5ddJUBMjcGnbjR51gbibF3uvQOWm/view?usp=drivesdk; https://drive.google.com/file/d/1YomxgZOjce2gR54l8Pd03-q4LtZUVkyG/view?usp=drivesdk",disponivel,link_preservado_nao_testado,legenda_indexada,manter_aula_individual,""
aula-mod-1-9,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","09 - Violão - 2.1 - Tríades Maiores",aula_teorica,2,0,2,1,0,5,2,"https://drive.google.com/file/d/1PUV-H6g3LLgEn1MkXyUawtIYyPWLjf3x/view?usp=drivesdk; https://drive.google.com/file/d/1odMhEfdvB17T8gghLwuQ14TB1ZRj6LyS/view?usp=drivesdk",disponivel,link_preservado_nao_testado,legenda_indexada,manter_aula_individual,""
aula-mod-1-10,Método Tríade,mod-1,"01. Anatomia, Postura e os Primeiros Sons","10 - Violão - 2.2 - Inovação - Fluência no A e D",aula_pratica,1,1,0,1,0,3,2,"https://drive.google.com/file/d/1L6KDY5eQ1FQINgDgtdVlAseKGXy3_Bjj/view?usp=drivesdk; https://drive.google.com/file/d/1PyCFehUGOIaUIu4C8KAD_y2EZBusqeEu/view?usp=drivesdk",disponivel,link_preservado_nao_testado,metadados_catalogo,manter_aula_individual,""
